timestamp_utc,pollutant_value,pollutant_unit,latitude,longitude,location_name,parameter_name
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T19:00:00+07:00'}",7.083333333333333,,7.158502558743491,100.6113217561578,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",1.781875006109476,,51.218352044676614,3.2048912311360485,,
"{'utc': '2025-10-04T10:30:00Z', 'local': '2025-10-04T16:00:00+05:30'}",69.01,,29.2124114,78.9611753,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",0.08272222398469846,,-28.744719,32.054805,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",15.9,,41.7194,-83.475,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T15:30:00+05:30'}",0.0,,23.80569,86.44268,,
"{'utc': '2025-09-12T20:00:00Z', 'local': '2025-09-12T13:00:00-07:00'}",40.45892826716105,,35.6152942,-119.7026069,,
"{'utc': '2024-04-12T22:00:00Z', 'local': '2024-04-13T07:00:00+09:00'}",29.0,,37.284067,126.97989200000002,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",14.1,,41.62057,-83.64226,,
"{'utc': '2025-10-03T15:00:00Z', 'local': '2025-10-03T11:00:00-04:00'}",6.0,,35.59095,-78.4622,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T09:00:00-03:00'}",20.819847220844693,,-35.63386558517702,-59.77481854387068,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",0.9359583365420502,,59.932931403229304,10.790277774001858,,
"{'utc': '2024-11-12T03:00:00Z', 'local': '2024-11-12T13:30:00+10:30'}",2.306249996026357,,-34.92483786797323,138.59364410206908,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",12.0,,41.645599999779066,-4.730300000005193,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",5.0,,47.592675,-122.627397,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",2.9,,48.9025040001429,2.452500000264972,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",14.0,,43.8303,87.5801,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",3.036108,,59.433471,10.66176236,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",24.0,,34.9058,108.9344,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",2.14,,48.37657599981851,10.888370000280668,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",11.747833347320556,,45.808215928423095,15.995745623062676,,
"{'utc': '2025-09-26T10:30:00Z', 'local': '2025-09-26T16:00:00+05:30'}",19.75,,12.7816279,77.6299145,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",6.0,,36.66608,127.474924,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T07:00:00-05:00'}",13.6,,37.7011,-97.3139,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T19:00:00+07:00'}",18.6,,16.4436,103.51299999999999,,
"{'utc': '2024-03-12T10:00:00Z', 'local': '2024-03-12T12:00:00+02:00'}",10.418,,-33.964589999999994,22.475761000000002,,
"{'utc': '2025-10-04T13:34:07Z', 'local': '2025-10-04T23:34:07+10:00'}",5.0,,-41.159,146.146,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T19:00:00+07:00'}",7.3,,18.362008,103.65977000000001,,
"{'utc': '2024-03-16T04:00:00Z', 'local': '2024-03-15T21:00:00-07:00'}",33.0,,37.64593,-118.96653,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",-1.0,,48.141249999538644,16.300082999567955,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",5.23,,53.30740000010482,11.373299999648415,,
"{'utc': '2020-12-31T15:00:00Z', 'local': '2020-12-31T23:00:00+08:00'}",37.0,,31.350799999999996,118.3528,,
"{'utc': '2024-03-29T09:00:00Z', 'local': '2024-03-29T16:00:00+07:00'}",24.06944465637207,,13.771263,100.434679,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",3.0,,48.6775199997656,9.22940300012656,,
"{'utc': '2024-07-30T11:00:00Z', 'local': '2024-07-30T13:00:00+02:00'}",3.06,,54.436984999994195,12.721938000327013,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T15:30:00+05:30'}",22.01,,18.616318,73.765797,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",2.707149,,49.82516500015017,8.51679799955829,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",1.0,,35.15774199999999,126.810097,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",4.5,,49.25434399983347,6.8677440001926,,
"{'utc': '2024-09-08T15:00:00Z', 'local': '2024-09-08T08:00:00-07:00'}",13.0,,37.645984,-118.966677,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",2.2135,,51.15484299972151,9.031754000448155,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",9.0,,23.359399999999997,104.25329999999998,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",1.24,,51.22760899972971,7.643095000138204,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",1.53445,,50.5671850002032,8.50061899993149,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",22.0,,31.205899999999996,121.39020000000001,,
"{'utc': '2024-07-30T11:00:00Z', 'local': '2024-07-30T13:00:00+02:00'}",2.61,,53.14130299973382,13.031661999730028,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",1.614,,51.019338000233795,6.884571000447916,,
